,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_multinomialNB__alpha,param_tfidf__binary,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,param_tfidf__norm,param_tfidf__smooth_idf,param_tfidf__stop_words,param_tfidf__sublinear_tf,param_tfidf__use_idf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
133,6.733998775482178,0.0561251258809051,1.9470014572143555,0.0511461889450941,0.02,True,1.0,20000,1,"(1, 2)",l2,True,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': True, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7417878958023263,0.7441692459756397,0.741088135546909,0.7423484257749583,0.0013188266896936468,113
134,7.733332633972168,0.05991820278222455,2.35733429590861,0.08936021470579299,0.02,True,1.0,20000,1,"(1, 2)",l2,False,,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': False, 'tfidf__stop_words': None, 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7510058805294193,0.7536832307034753,0.7520851816797021,0.7522580976375322,0.001099841180954076,50
135,6.718667268753052,0.054956644747573793,1.988001028696696,0.06083531676100396,0.02,True,1.0,20000,1,"(1, 2)",l2,False,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': False, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7417632654855013,0.744062557292438,0.7409078348382199,0.7422445525387197,0.001332115200594834,115
136,15.145999352137247,0.049807645547676485,3.1433355808258057,0.0860388163084863,0.02,True,1.0,20000,1,"(1, 3)",l1,True,,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 3), 'tfidf__norm': 'l1', 'tfidf__smooth_idf': True, 'tfidf__stop_words': None, 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7128373603422478,0.7140532899037827,0.7115252565095149,0.7128053022518485,0.0010323142291322259,455
137,11.83401640256246,0.18402279443285088,2.5146700541178384,0.039209063805201554,0.02,True,1.0,20000,1,"(1, 3)",l1,True,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 3), 'tfidf__norm': 'l1', 'tfidf__smooth_idf': True, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7269179569355344,0.7278675988344195,0.7262210363162537,0.7270021973620692,0.0006748404100991828,284
138,15.48168150583903,0.2986958788766403,3.1230008602142334,0.08071268613191071,0.02,True,1.0,20000,1,"(1, 3)",l1,False,,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 3), 'tfidf__norm': 'l1', 'tfidf__smooth_idf': False, 'tfidf__stop_words': None, 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7128101359607684,0.7141427430033628,0.7116286396308773,0.7128605061983362,0.0010269962065850707,453
139,11.279665311177572,0.060885851249490024,2.4626670678456626,0.08619906036756583,0.02,True,1.0,20000,1,"(1, 3)",l1,False,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 3), 'tfidf__norm': 'l1', 'tfidf__smooth_idf': False, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7268635716320848,0.7279435636447458,0.7261070484007839,0.7269713945592048,0.0007536207702532463,285
140,14.775329430898031,0.1055495809769486,3.449667453765869,0.31134938308803173,0.02,True,1.0,20000,1,"(1, 3)",l2,True,,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 3), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': True, 'tfidf__stop_words': None, 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7543658516351887,0.7550259456240955,0.7542439256006417,0.7545452409533087,0.00034353478704234893,13
141,11.423665364583334,0.2625648592776648,2.6006669998168945,0.14617958259041247,0.02,True,1.0,20000,1,"(1, 3)",l2,True,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 3), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': True, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.741553378069773,0.7431801730940231,0.7413030697519023,0.7420122069718994,0.0008321747453991409,136
142,14.630000511805216,0.14336038742174967,3.106999317804972,0.06738406085782932,0.02,True,1.0,20000,1,"(1, 3)",l2,False,,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 3), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': False, 'tfidf__stop_words': None, 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7543658516351887,0.7550711047208964,0.7541504822263454,0.7545291461941434,0.000393179585013042,14
143,11.18466560045878,0.03498850366219952,2.447333812713623,0.02984774993356911,0.02,True,1.0,20000,1,"(1, 3)",l2,False,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': True, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 3), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': False, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7414562496224288,0.7431768505331633,0.7413275577820715,0.7419868859792212,0.0008430706285844135,140
144,2.6986656188964844,0.06291364362031822,1.2703344821929932,0.08308187594917563,0.02,False,1.0,,1,"(1, 1)",l1,True,,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': False, 'tfidf__max_df': 1.0, 'tfidf__max_features': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__norm': 'l1', 'tfidf__smooth_idf': True, 'tfidf__stop_words': None, 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.6791970342863818,0.6801937510460165,0.6809085298214788,0.6800997717179591,0.0007018681392022413,614
145,2.6496664683024087,0.0392388124466185,1.208332618077596,0.049216169881842874,0.02,False,1.0,,1,"(1, 1)",l1,True,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': False, 'tfidf__max_df': 1.0, 'tfidf__max_features': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__norm': 'l1', 'tfidf__smooth_idf': True, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7045576502759596,0.7059164077040576,0.7073028290293311,0.7059256290031161,0.0011207335012564262,511
146,2.7316648165384927,0.036464762793996415,1.281333049138387,0.024254932093510866,0.02,False,1.0,,1,"(1, 1)",l1,False,,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': False, 'tfidf__max_df': 1.0, 'tfidf__max_features': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__norm': 'l1', 'tfidf__smooth_idf': False, 'tfidf__stop_words': None, 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.6791069196042725,0.6800322565575637,0.6810002042924191,0.6800464601514183,0.0007729954868999035,615
147,2.654999097188314,0.033235917655071084,1.2509986559549968,0.03001162700743324,0.02,False,1.0,,1,"(1, 1)",l1,False,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': False, 'tfidf__max_df': 1.0, 'tfidf__max_features': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__norm': 'l1', 'tfidf__smooth_idf': False, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7043422834591215,0.7053989758484438,0.706924240966373,0.7055551667579794,0.0010598499398434295,515
148,2.696666717529297,0.03526532231207709,1.2870067755381267,0.04330311539786941,0.02,False,1.0,,1,"(1, 1)",l2,True,,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': False, 'tfidf__max_df': 1.0, 'tfidf__max_features': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': True, 'tfidf__stop_words': None, 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7172920470183801,0.7188891104535853,0.7189805706996412,0.7183872427238689,0.0007753199206963434,418
149,2.630666812260946,0.02623389493603415,1.3026692072550456,0.035539350709060294,0.02,False,1.0,,1,"(1, 1)",l2,True,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': False, 'tfidf__max_df': 1.0, 'tfidf__max_features': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': True, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7217959233495193,0.7214516754611815,0.7224028840755541,0.7218834942954183,0.0003932352645583328,381
150,2.7833306789398193,0.021203673676798485,1.3080001672108967,0.07680214902134117,0.02,False,1.0,,1,"(1, 1)",l2,False,,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': False, 'tfidf__max_df': 1.0, 'tfidf__max_features': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': False, 'tfidf__stop_words': None, 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7167285151600246,0.7186693085851882,0.7184400943253406,0.7179459726901843,0.0008659433863467971,420
151,2.6636664072672525,0.052295983466295964,1.2426671187082927,0.04543531308784958,0.02,False,1.0,,1,"(1, 1)",l2,False,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': False, 'tfidf__max_df': 1.0, 'tfidf__max_features': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__norm': 'l2', 'tfidf__smooth_idf': False, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.721389945575881,0.7210243077936043,0.7218512654359119,0.7214218396017991,0.0003383564759339985,388
152,7.794998089472453,0.11575994065835532,2.8116660118103027,0.04830664222019828,0.02,False,1.0,,1,"(1, 2)",l1,True,,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': False, 'tfidf__max_df': 1.0, 'tfidf__max_features': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__norm': 'l1', 'tfidf__smooth_idf': True, 'tfidf__stop_words': None, 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7210749533452705,0.72086479847291,0.7198425638430089,0.7205941052203965,0.0005383010923503562,404
153,6.762665748596191,0.08692816152092486,2.2773337364196777,0.014383043257215787,0.02,False,1.0,,1,"(1, 2)",l1,True,english,False,True,"{'multinomialNB__alpha': 0.02, 'tfidf__binary': False, 'tfidf__max_df': 1.0, 'tfidf__max_features': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__norm': 'l1', 'tfidf__smooth_idf': True, 'tfidf__stop_words': 'english', 'tfidf__sublinear_tf': False, 'tfidf__use_idf': True}",0.7310771882708412,0.7306310598091093,0.7299421159459645,0.7305501213419717,0.00046691224890923317,230
