configuration_number,vectorizer_param,model_param,f1
104,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.696826764599173
105,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.5470562207047471
106,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6975029424048406
107,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.5464963387705892
108,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.6976160289138482
109,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.5458118292149317
110,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6977985843037352
111,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.5444062319529377
112,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6977140411243284
113,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.5740141380564671
114,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.696795835054798
115,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.5733584277345882
116,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6966841139715677
117,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.5730474953082142
118,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.696681038494138
119,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.5722031606713971
120,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.696826764599173
121,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.5470562207047471
122,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6975029424048406
123,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.5464963387705892
124,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.6976160289138482
125,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.5458118292149317
126,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6977985843037352
127,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.5444062319529377
128,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6977140411243284
129,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.6819327328886686
130,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.6825269932498967
131,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.6819462301884736
132,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6826789353909368
133,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.6819109028208772
134,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.6827006405622775
135,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.6819155133977113
136,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.6827673366807805
137,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.6819197374873389
138,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6809635279510298
139,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.681979693875764
140,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.681050578803529
141,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.6818932278371912
142,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6810520204079111
143,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.6819023831804163
144,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6810998658959123
145,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.6819327328886686
146,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.6825269932498967
147,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.6819462301884736
148,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6826789353909368
149,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.6819109028208772
150,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.6827006405622775
151,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.6819155133977113
152,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.6827673366807805
153,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.6819197374873389
154,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6809635279510298
155,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.681979693875764
156,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.681050578803529
157,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.6818932278371912
158,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6810520204079111
159,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.6819023831804163
160,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6810998658959123
161,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.6866548246175543
162,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.6991731659110505
163,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.6866457493567615
164,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6991731659110505
165,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.6865111722855985
166,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.6991770506370583
167,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.6865366974296944
168,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.6989809635608606
169,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.6811195361979924
170,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6987569977716227
171,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.681080549190447
172,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.6988453234618643
173,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.6809915655915355
174,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6988037980516899
175,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.6808439660920003
176,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6988219221732276
177,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.6866548246175543
178,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.6991731659110505
179,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.6866457493567615
180,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6991731659110505
181,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.6865111722855985
182,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.6991770506370583
183,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.6865366974296944
184,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.6989809635608606
185,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.6811195361979924
186,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6987569977716227
187,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.681080549190447
188,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.6988453234618643
189,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.6809915655915355
190,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6988037980516899
191,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.6808439660920003
192,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6988219221732276
193,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.6819327328886686
194,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.6825269932498967
195,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.6819462301884736
196,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6826789353909368
197,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.6819109028208772
198,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.6827006405622775
199,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.6819155133977113
200,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.6827673366807805
201,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.6819197374873389
202,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6809635279510298
203,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.681979693875764
204,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.681050578803529
205,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.6818932278371912
206,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6810520204079111
207,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.6819023831804163
