configuration_number,vectorizer_param,model_param,f1
24,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.6816612251493621
25,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.6519333173649946
26,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6823784869639324
27,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.6518002454050597
28,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.6822041442395401
29,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.6514382592882579
30,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6822041442395401
31,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.6507752579707797
32,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6820502168922755
33,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.5740529609293504
34,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.6968191010147489
35,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.5733584277345882
36,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6966841139715677
37,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.5730474953082142
38,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.696681038494138
39,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.5722031606713971
40,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.696826764599173
41,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.5470562207047471
42,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6975029424048406
43,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.5464963387705892
44,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.6976160289138482
45,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.5458118292149317
46,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6977985843037352
47,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.5444062319529377
48,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6977140411243284
49,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.5740529609293504
50,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.6968191010147489
51,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.5733584277345882
52,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6966841139715677
53,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.5730474953082142
54,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.696681038494138
55,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.5722031606713971
56,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.696826764599173
57,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.5470562207047471
58,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6975029424048406
59,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.5464963387705892
