configuration_number,vectorizer_param,model_param,f1
136,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7558188264758645
137,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7557359164235768
138,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7557359164235768
139,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7557171620199796
140,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7557626692550727
141,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7557359164235768
142,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7557359164235768
143,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7557171620199796
144,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7557626692550727
145,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7589757147212428
146,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7590451240316319
147,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.758651109486896
148,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7585891756790022
149,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7589757147212428
150,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7590451240316319
151,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.758651109486896
152,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7585891756790022
153,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7587939467836269
154,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7588179152848444
155,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7588253949066818
156,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7587774619244065
157,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7587939467836269
158,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7588179152848444
159,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7588253949066818
160,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7587774619244065
161,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.758751000263628
162,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7588204095268074
163,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7588204095268074
164,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7587534946930048
165,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.758751000263628
166,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7588204095268074
167,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7588204095268074
168,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7587534946930048
169,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.759023649349787
170,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7590451240316319
171,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7586965484194975
172,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7585891756790022
173,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.759023649349787
174,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7590451240316319
175,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7586965484194975
176,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7585891756790022
177,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7587939467836269
178,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7588179152848444
179,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7588468692371282
180,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.758801428662272
181,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7587939467836269
182,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7588179152848444
183,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7588468692371282
184,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.758801428662272
185,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.758751000263628
186,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7588204095268074
187,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7588204095268074
188,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7587749682473964
189,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.758751000263628
190,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7588204095268074
191,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7588204095268074
192,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 0.0001, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7587749682473964
193,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7561667542333149
194,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7561881792135744
195,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7562756401243536
196,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7563023270987179
197,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7561667542333149
198,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7561881792135744
199,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7562756401243536
200,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7563023270987179
201,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7558697743931125
202,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7558911953748911
203,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7557304768258837
204,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7557090546021554
205,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7558697743931125
206,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1e-05, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7558911953748911
